epoch,train_loss,val_loss,train_acc_exit0,train_acc_exit1,train_acc_exit2,train_acc_exit3,val_acc_exit0,val_acc_exit1,val_acc_exit2,val_acc_exit3,lr
145,3.3026,5.9826,63.47,76.46,84.20,84.50,53.50,61.82,63.38,62.96,0.017528
146,3.2599,5.7060,63.84,76.85,84.72,84.90,52.82,63.36,66.26,66.32,0.016934
147,3.2024,6.4725,63.74,77.01,85.33,85.60,48.78,63.16,63.14,63.08,0.016349
148,3.1625,5.7750,64.07,77.54,85.62,86.00,53.20,64.34,65.92,65.98,0.015773
149,3.1375,6.0451,64.11,77.60,86.01,86.29,49.46,64.08,66.38,66.20,0.015204
150,3.1002,5.6116,64.31,77.76,86.05,86.52,51.88,64.50,66.52,67.50,0.014645
151,3.0429,5.6843,64.60,78.10,87.11,87.39,53.98,64.46,66.40,66.64,0.014094
152,3.0413,5.6440,64.61,78.08,86.97,87.18,54.74,63.32,66.84,66.76,0.013552
153,2.9713,5.7209,64.93,78.73,87.71,87.89,55.04,65.22,66.22,66.38,0.013018
154,2.9538,6.1989,65.26,78.60,87.82,88.23,51.82,61.54,65.46,65.38,0.012494
155,2.8971,5.6993,65.15,79.06,88.61,88.82,54.82,64.46,65.88,65.66,0.011980
156,2.8566,5.7604,65.56,79.48,89.01,89.23,53.68,66.12,66.86,66.54,0.011474
157,2.8186,5.7553,65.55,79.57,89.28,89.53,54.78,65.90,65.48,65.42,0.010978
158,2.7610,5.9916,65.51,80.20,89.93,90.11,54.46,63.00,64.52,64.64,0.010492
159,2.7287,5.5022,65.91,80.60,90.50,90.54,57.94,66.96,67.84,68.06,0.010016
160,2.6877,5.4674,66.36,80.48,90.58,90.80,56.20,66.34,68.26,68.46,0.009549
161,2.6319,5.3356,66.50,80.88,91.33,91.59,56.84,67.38,69.14,69.14,0.009093
162,2.5936,5.2734,66.70,81.25,91.79,91.91,56.64,67.44,70.00,69.50,0.008646
163,2.5359,5.6214,66.72,81.59,92.36,92.50,53.58,66.60,67.62,67.82,0.008210
164,2.5093,5.2855,66.72,81.87,92.81,92.94,58.12,68.44,69.66,69.78,0.007784
165,2.4822,5.1407,67.06,82.24,92.82,93.09,59.02,68.74,69.76,69.40,0.007368
166,2.4436,5.4271,67.41,82.41,93.44,93.51,57.58,66.96,68.80,68.54,0.006963
167,2.3810,5.1926,67.63,82.88,94.14,94.24,58.60,68.20,69.78,69.84,0.006568
168,2.3424,5.0994,67.72,83.24,94.49,94.64,59.16,68.38,70.68,70.84,0.006185
169,2.2911,5.2136,68.23,83.72,95.13,95.25,58.40,68.88,70.46,70.54,0.005812
